2023-12-16 18:12:59,189 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,211 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,235 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 18:12:59,292 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,309 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 18:12:59,324 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: Duplicate user in Excel file, Error Message: Duplicate user, Row Number: -1, Error Column: UserID, File Name: Excel File
2023-12-16 19:28:00,673 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:28:00,923 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:28:01,091 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:28:01,136 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:30:40,860 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:30:41,113 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:30:41,274 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:30:41,325 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:04,507 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:04,755 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:04,909 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:04,957 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:16,494 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
